"","1","2","3","4","5","6","group","tau1","tau2","tau3"
"mean.541",4.46903642052776,5.1150645838927,7.23308894251903,9.53424230825037,6.3211828455333,8.62799936058085,2,0.64602816336494,2.30115336573134,2.30681651504755
"mean.551",4.51245434280843,4.87792777435284,7.18686483978212,8.86089844841369,6.22876033529798,7.92859319233065,2,0.365473431544406,1.67403360863157,1.69983285703266
"mean.561",4.47202751720192,4.97199468528645,6.96333970725613,9.33099657617462,6.22204141689336,8.51879570079154,2,0.499967168084529,2.36765686891849,2.29675428389818
"mean.571",4.47443384680092,4.96908538121198,7.21593459910313,8.98717877731014,6.22654975599149,7.98955045915893,2,0.49465153441106,1.77124417820701,1.76300070316743
"mean.581",4.4945110114538,4.94967274008965,7.23961280495348,9.41616769147776,6.4104285702377,8.21674238368216,2,0.45516172863585,2.17655488652428,1.80631381344446
"mean.591",4.47085969545677,4.82830273026326,7.03013107300891,9.81656974514852,6.17024792232767,8.40373024853572,2,0.357443034806489,2.78643867213961,2.23348232620805
"mean.601",4.49518775626819,5.27517373144715,7.07547077054069,9.3092291761573,6.24717090843311,7.82029114073766,2,0.779985975178957,2.23375840561661,1.57312023230456
"mean.611",4.47711655632526,5.0073119771491,7.17454783668543,9.52900087943595,6.25026400519342,7.86716583597641,2,0.530195420823834,2.35445304275052,1.61690183078298
"mean.621",4.46682007813854,4.86153235823971,7.20116709816779,9.95137747008031,6.27435320301898,8.16219333489268,2,0.394712280101166,2.75021037191252,1.8878401318737
"mean.631",4.47973492122052,4.97512830276265,7.17562806819512,9.72887300838653,6.28834032305175,8.28555014868255,2,0.495393381542132,2.55324494019141,1.9972098256308
"mean.641",4.47548911514461,5.03550574597387,7.24474530761431,8.65909871690915,6.43246482792991,8.48439206013422,2,0.56001663082926,1.41435340929483,2.05192723220431
"mean.651",4.47925998193427,5.02282162625069,7.29888543638699,9.64567734268752,6.37865914153281,7.66768789654304,2,0.543561644316427,2.34679190630053,1.28902875501022
"mean.661",4.49008099196757,4.96552671849412,7.26048265620875,9.52194625719644,6.29784768487218,8.23408461401035,2,0.475445726526544,2.26146360098769,1.93623692913818
"mean.671",4.48597753295682,4.99111073540069,7.27503439266599,9.54533997920223,6.27150786670903,8.64232426079558,2,0.505133202443875,2.27030558653624,2.37081639408656
"mean.681",4.47539403808396,4.90053682202757,7.06343347758925,9.08382236834779,6.30593393733505,7.95770820140179,2,0.42514278394361,2.02038889075853,1.65177426406674
"mean.691",4.48060416899457,4.87521867037408,7.1259824240265,10.0771649887259,6.28405811345317,8.4556989101669,2,0.394614501379515,2.95118256469937,2.17164079671373
"mean.701",4.48422433236369,4.9794157975602,7.25850843361102,9.34249019607541,6.30352675440974,8.06665549272791,2,0.495191465196504,2.08398176246439,1.76312873831817
"mean.711",4.48449584892465,4.90501926386228,7.25637990112436,9.55176123880489,6.24112918040055,8.17112157998653,2,0.420523414937628,2.29538133768053,1.92999239958598
